職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點,工作待遇範圍,企業規模
10/04,數據分析,40000,億力資訊股份有限公司,180,2年以上,Java、Python,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
09/28,AI/Machine Learning Engineer,40000,(捷普集團)綠點高新科技股份有限公司捷普設計服務分公司,85000,不拘,Python、Java,消費性電子產品製造業,雙北,"(30000, 40000]",大型企業
10/23,資深軟體工程師(Java),40000,科萊博瑞科技有限公司,140,5年以上,Linux、Java、MS SQL,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/27,Senior Backend Engineer- Taoyuan,40000,美商科磊股份有限公司台灣分公司_KLA Taiwan,1600,3年以上,Java、MySQL、PL/SQL、PostgreSQL、JavaScript,半導體製造業,桃園,"(30000, 40000]",大型企業
10/25,ERP/business application Manager(新竹),40000,英屬開曼群島商世芯股份有限公司台灣分公司,500,其他,Java、Informix、MS SQL、Oracle、鼎新,IC設計相關業,雙北,"(30000, 40000]",大型企業
10/18,T-【2023軟體技術人才招募】Java SD / PG_人才招募(工作地點：台中),40000,緯創軟體股份有限公司,8600,2年以上,不拘,電腦軟體服務業,台中,"(30000, 40000]",大型企業
10/26,專案-工程師(培訓),40000,艾帝浦杰股份有限公司,60,不拘,Git、ASP.NET、C#、Java、JavaScript、VueJS、Excel、Internet Explorer、Outlook、PowerPoint、Word,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/03,【TenMax】[新竹] Software Engineer - Backend (後端軟體工程師),50000,騰學廣告科技股份有限公司,60,不拘,Linux、Java、PostgreSQL,電腦軟體服務業,雙北,"(40000, 50000]",中型企業
10/25,T-【2023軟體技術人才招募】Android 工程師_人才招募,40000,緯創軟體股份有限公司,8600,2年以上,Android、C#、C++、Java、Kotlin,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/19,JAVA 軟體工程師－台中(可遠端),34000,國興資訊股份有限公司,80,1年以上,不拘,電腦軟體服務業,台中,"(30000, 40000]",中型企業
10/17,BT engineer,40000,台灣聚引移動有限公司,150,2年以上,Android、C++、Java,其它軟體及網路相關業,雙北,"(30000, 40000]",中型企業
09/28,《台北中山》資料工程師,42000,敦謙國際智能科技股份有限公司,800,不拘,Java、Python,旅遊服務業,雙北,"(40000, 50000]",大型企業
10/26,資訊處-專案管理人員,40000,財團法人保險事業發展中心,100,3年以上,AJAX、ASP.NET、Java、Access、MS SQL、Oracle、HTML、JavaScript、jQuery、CSS、Excel、PowerPoint、Word,其他教育服務業,雙北,"(30000, 40000]",中型企業
10/25,全端工程師(T47),40000,關貿網路股份有限公司,670,不拘,Java、Oracle、JavaScript,電腦系統整合服務業,雙北,"(30000, 40000]",大型企業
10/17,軟體工程師-竹北,40000,力致科技股份有限公司,190,2年以上,ASP.NET、C#、Java、MS SQL、JavaScript,電腦及其週邊設備製造業,雙北,"(30000, 40000]",中型企業
07/11,軟體設計師,34000,嘉誠資訊股份有限公司,78,不拘,Windows 8、Windows Server 2012、C++.Net、Java、JSP、Visual Studio、Visual Studio .net、MS SQL、DHTML、JavaScript、XML,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/25,行動應用開發工程師(UIUX工程師),36000,輔翼科技股份有限公司,48,不拘,不拘,電腦及其週邊設備製造業,雙北,"(30000, 40000]",小型企業
10/18,資深遊戲系統後端工程師(台中市西區),65000,緯雲股份有限公司,20,3年以上,Shell、Git、Java,電腦軟體服務業,台中,"(60000, 70000]",小型企業
10/23,智慧藥櫃全端工程師(台南區),40000,中化裕民健康事業股份有限公司,440,不拘,C++、Java、MySQL、XML,綜合商品批發代理業,台南,"(30000, 40000]",大型企業
10/25,雲端工程師,45000,迪梯西數位科技有限公司,25,1年以上,C#、Java、MS SQL、MySQL、JavaScript,電腦軟體服務業,雙北,"(40000, 50000]",小型企業
10/25,新事業部後端工程師,40000,湖水綠簡單生活有限公司,110,3年以上,Java、Python、JavaScript、Node.js,其他醫療保健服務業,雙北,"(30000, 40000]",中型企業
10/12,自動化測試工程師,40000,奧米科技有限公司,30,1年以上,Java,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/26,程式設計人員,35000,耐特科技材料股份有限公司,259,不拘,C、C#、C++、Java、Python,塑膠製品製造業,彰化,"(30000, 40000]",大型企業
10/11,【台北】Android 工程師,40000,滙宇物流倉儲有限公司,150,1年以上,Android、Git、Java、Kotlin,儲配／運輸物流業,雙北,"(30000, 40000]",中型企業
10/19,113年度研發替代役-後端與前端工程師,40000,聯華電信股份有限公司,100,不拘,不拘,光電產業,雙北,"(30000, 40000]",中型企業
10/18,【研究發展處】SWE / Software Engineer / 軟體工程師,40000,現觀科技股份有限公司,120,不拘,Linux、Java、Python,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/24,Payment Gateway後端工程師,50000,新紀元網路資訊有限公司,10,2年以上,Java、Go、PostgreSQL、RDBMS,電腦軟體服務業,桃園,"(40000, 50000]",小型企業
10/11,Android APP工程師,45000,晶新資訊股份有限公司,11,1年以上,Android、Java,其它軟體及網路相關業,高雄,"(40000, 50000]",小型企業
07/11,程式設計師,34000,嘉誠資訊股份有限公司,78,不拘,Windows Server 2012、ASP.NET、Java、JSP、Visual Studio、Visual Studio .net、MS SQL、MySQL、DHTML、JavaScript、XML,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/23,Software Engineering Manager (Backend),150000,HOMEE AI_合宜家居股份有限公司,50,5年以上,Java、Python、Go、ETL、MySQL、PostgreSQL、AWS、ssh、VPN,其它軟體及網路相關業,雙北,"(100000, 200000]",小型企業
10/25,Android Engineer_Android 工程師,75833,OpenNet_開網有限公司,100,2年以上,Android、Java、Kotlin,網際網路相關業,雙北,"(70000, 80000]",中型企業
10/04,I196 Java資深工程師(可遠端工作),40000,台灣大哥大股份有限公司,3500,2年以上,Java、Spring、JavaScript,電信相關業,雙北,"(30000, 40000]",大型企業
10/17,Android軟體工程師,40000,復騰顧問有限公司,25,3年以上,Android、Git、Java、Kotlin、HTML、JavaScript,其它軟體及網路相關業,雙北,"(30000, 40000]",小型企業
10/02,AI 軟體工程師,45000,賽微科技股份有限公司,50,不拘,C、C++、Java、JavaScript、jQuery,其它軟體及網路相關業,雙北,"(40000, 50000]",小型企業
10/11,SA 系統分析師,40000,達暉資訊有限公司,50,3年以上,ASP.NET、Java,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/13,軟體設計工程師,27000,致宣有限公司,50,不拘,Java、PHP、HTML、JavaScript,電腦軟體服務業,台中,"(0, 30000]",小型企業
10/11,【資訊板塊】外匯核心系統開發工程師(海外),40000,國泰世華商業銀行股份有限公司_人力資源部,9000,不拘,ASP.NET、C#、COBOL、Java、Visual C#、MS SQL、JavaScript、Angular,銀行業,雙北,"(30000, 40000]",大型企業
07/26,程式設計師(專案軟體部),35000,中菲電腦股份有限公司,350,1年以上,ASP.NET、Java、MS SQL、JavaScript、jQuery、Excel、Outlook、PowerPoint、Word、中文打字20~50,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/17,後端資深工程師_台達知識管理部(台北),40000,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,88000,3年以上,Java、Spring,其他電子零組件相關業,雙北,"(30000, 40000]",大型企業
10/24,軟體研發工程師,40000,眾陽機械製造股份有限公司,100,不拘,Android、MCU、C#、C++、Java、Visual Basic .net,電力機械器材製造修配業,雙北,"(30000, 40000]",中型企業
